Id,Action__c,DeveloperName,MasterLabel,Label,Language,NamespacePrefix,QualifiedApiName,Rule__c,Sequence__c,Success_Chance__c
m022w000000l3ltAAA,LMTaskHandler,Create_Task,Create Task,Create Task,en_US,,Create_Task,CREATE TASK 1,2,99
m022w000000l3lyAAA,LMOnboardingHandler,Create_Onboarding,Create Onboarding,Create Onboarding,en_US,,Create_Onboarding,CREATE ONB 1,1,99
